NSE_SYMBOL|BSE_SYMBOL|COMPANY_NAME_STD|ISIN|ICICI BLUCHIP FUND_2024-11-30_MARKET_VALUE|ICICI BLUCHIP FUND_2024-11-30_QUANTITY|ICICI BLUCHIP FUND_2024-12-31_MARKET_VALUE|ICICI BLUCHIP FUND_2024-12-31_QUANTITY
TITAN|TITAN|Titan Company Limited|INE280A01028|10631.09|327211|8554.97|262975
TVSMOTOR|TVSMOTOR|TVS Motor Company Ltd.|INE494B01023|11590.34|476097|11276.36|476097
UBL|UBL|United Breweries Ltd.|INE686F01025|48267.87|2474641|50408.44|2474641
ULTRACEMCO|ULTRACEMCO|UltraTech Cement Ltd|INE481G01011|256504.59|2289780|263667.48|2307539
UNIONBANK|UNIONBANK|Union Bank of India|INE692A01016|30644.53|25196952|33459.19|27796952
UNITDSPR|UNITDSPR|United Spirits Limited|INE854D01024|52031.74|3402769|55310.31|3402769
VEDL|VEDL|Vedanta Limited|INE205A01025|23261.44|5129314|20130.54|4529314
WIPRO|WIPRO|Wipro  Ltd.|INE075A01022|35281.12|6105584|36859.41|12211168
ZYDUSLIFE|ZYDUSLIFE|Zydus Lifesciences Limited|INE010B01027|34607.48|3582740|37184.03|3826699
||364 Days Treasury Bills|IN002023Z406|1495.23|1500000||
||364 Days Treasury Bills|IN002023Z430|496.57|500000|499.3|500000
||364 Days Treasury Bills|IN002023Z448|||1396.33|1400000
||364 Days Treasury Bills|IN002023Z455|1981.4|2000000|1992.31|2000000
||364 Days Treasury Bills|IN002023Z463|5739.01|5800000|5770.66|5800000
||364 Days Treasury Bills|IN002023Z489|||595.48|600000
||91 Days Treasury Bills|IN002024X284|3471.72|3500000|3490.82|3500000
||91 Days Treasury Bills|IN002024X300|2176.86|2200000|2188.87|2200000
||182 Days Treasury Bills|IN002024Y100|3497.48|3500000||
||182 Days Treasury Bills|IN002024Y142|||3599.37|3600000
||182 Days Treasury Bills|IN002024Y159|1489.72|1500000|1497.9|1500000
||182 Days Treasury Bills|IN002024Y167|1983.49|2000000|1994.4|2000000
||Grasim Industries Ltd.|IN9047A01029|833.2|50158|872.37|50158
||ZZZ! Cash / Derivatives / Balancing Num|IN9999999999|524697.1399999987||501845.9999999972|
